probe_type,task,layer,train_loss,val_loss,test_acc
dense_linear,correct,4,0.6142287339076061,0.5975808501243591,0.7377777777777778
dense_linear,correct,8,0.5838010531884653,0.5600004196166992,0.7333333333333333
dense_linear,correct,12,0.568364836266676,0.5467482805252075,0.7555555555555555
dense_linear,correct,16,0.5569175089416823,0.5421801209449768,0.78
dense_linear,correct,20,0.5536036855288589,0.536166250705719,0.7755555555555556
dense_linear,correct,24,0.5617436277396363,0.5338097810745239,0.7688888888888888
dense_linear,correct,28,0.533651406548499,0.5548897385597229,0.7311111111111112
dense_linear,correct,31,0.555741172110308,0.5420088768005371,0.7066666666666667
dense_linear,correct_given_recall1,4,0.6512850913508185,0.6441614627838135,0.7455089820359282
dense_linear,correct_given_recall1,8,0.6268943445435886,0.6013261675834656,0.7485029940119761
dense_linear,correct_given_recall1,12,0.6098231529367382,0.5867347717285156,0.7425149700598802
dense_linear,correct_given_recall1,16,0.5993614587290533,0.5959050059318542,0.7035928143712575
dense_linear,correct_given_recall1,20,0.5984133502532696,0.5735819339752197,0.7485029940119761
dense_linear,correct_given_recall1,24,0.5856892466545105,0.5561931729316711,0.7485029940119761
dense_linear,correct_given_recall1,28,0.5633156607890951,0.5772109031677246,0.7485029940119761
dense_linear,correct_given_recall1,31,0.6423476667239748,0.6933236718177795,0.45808383233532934
dense_linear,recall_full,4,0.6617871773870367,0.6468705534934998,0.7377777777777778
dense_linear,recall_full,8,0.6444794761507134,0.64457106590271,0.7555555555555555
dense_linear,recall_full,12,0.639590723472729,0.6423354744911194,0.7444444444444445
dense_linear,recall_full,16,0.6300894164202506,0.6784612536430359,0.64
dense_linear,recall_full,20,0.6287187124553479,0.6271169185638428,0.7066666666666667
dense_linear,recall_full,24,0.6182978870575888,0.6699853539466858,0.6133333333333333
dense_linear,recall_full,28,0.5920649246165627,0.6262103915214539,0.6755555555555556
dense_linear,recall_full,31,0.6606228069255227,0.725805401802063,0.52
mass_mean,correct,4,0.577200174331665,0.5635585188865662,0.7111111111111111
mass_mean,correct,8,0.5699849128723145,0.5635442137718201,0.72
mass_mean,correct,12,0.5662238001823425,0.5526223182678223,0.7355555555555555
mass_mean,correct,16,0.5636757016181946,0.5471189022064209,0.7288888888888889
mass_mean,correct,20,0.5728375315666199,0.5562122464179993,0.6911111111111111
mass_mean,correct,24,0.5757520198822021,0.5617232918739319,0.6888888888888889
mass_mean,correct,28,0.572035014629364,0.5620633363723755,0.6955555555555556
mass_mean,correct,31,0.6566101908683777,0.6462761759757996,0.5333333333333333
mass_mean,correct_given_recall1,4,0.5983627438545227,0.5974403619766235,0.7245508982035929
mass_mean,correct_given_recall1,8,0.5887244343757629,0.5994000434875488,0.7305389221556886
mass_mean,correct_given_recall1,12,0.5889727473258972,0.5791665315628052,0.7275449101796407
mass_mean,correct_given_recall1,16,0.5838465690612793,0.5859152674674988,0.6856287425149701
mass_mean,correct_given_recall1,20,0.5984346866607666,0.594167172908783,0.6616766467065869
mass_mean,correct_given_recall1,24,0.6050264239311218,0.5981498956680298,0.6137724550898204
mass_mean,correct_given_recall1,28,0.5946865081787109,0.5998221635818481,0.6377245508982036
mass_mean,correct_given_recall1,31,0.6593368649482727,0.6556345224380493,0.5089820359281437
mass_mean,recall_full,4,0.6526131629943848,0.6561678051948547,0.6911111111111111
mass_mean,recall_full,8,0.645489513874054,0.6527338027954102,0.7177777777777777
mass_mean,recall_full,12,0.6374878883361816,0.6558501720428467,0.72
mass_mean,recall_full,16,0.6398062705993652,0.6459019780158997,0.7488888888888889
mass_mean,recall_full,20,0.6410006880760193,0.6506468057632446,0.7488888888888889
mass_mean,recall_full,24,0.645028829574585,0.6452116966247559,0.7111111111111111
mass_mean,recall_full,28,0.632305383682251,0.6478478908538818,0.7088888888888889
mass_mean,recall_full,31,0.6718516945838928,0.6696953773498535,0.5355555555555556
uncertainty,correct,None,0.7233849130793427,0.7319976091384888,0.41333333333333333
uncertainty,correct_given_recall1,None,1.0568895607159055,0.6692696213722229,0.6916167664670658
uncertainty,recall_full,None,1.098945064711989,1.2223334312438965,0.2577777777777778
